"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS001827","OH0780300BWC","LibertyTownship","Trumbull County","OH","Liberty Township Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $38,525.00 to the Liberty Township Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001828","OH0150500BWC","Lisbon","Columbiana County","OH","Lisbon Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $20,823.00 to the Lisbon Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001831","OH0470000BWC","Elyria","Lorain County County","OH","Lorain County Sheriff's Office","Sheriff","In January 2022, Ohio Governor Mike DeWine awarded $147,042.08 to the Lorain County Sheriff's Office for expenses associated with launching or maintaining body-worn camera programs.","County","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001833","OH0470500BWC","Lorain","Lorain County","OH","Lorain Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $94,320.00 to the Lorain Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001834","OH0312000BWC","Loveland","Clermont County","OH","Loveland Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $87,896.26 to the Loveland Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001835","OH0500000BWC","Youngstown","Mahoning County County","OH","Mahoning County Sheriff's Office","Sheriff","In January 2022, Ohio Governor Mike DeWine awarded $30,559.20 to the Mahoning County Sheriff's Office for expenses associated with launching or maintaining body-worn camera programs.","County","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001838","OH0520200BWC","Medina City","Medina County","OH","Medina City Police Department","Police","The Medina Police Department received $44,671 from the Bureau of Justice Assistance to purchase 42 body-worn cameras through the 2022 Small, Rural, Tribal BWC Microgrant program. In January 2022, Ohio Governor Mike DeWine awarded $75,000.00 to the agency for expenses associated with launching or maintaining body-worn camera programs.The Medina Police Department received an additional $11,990 grant for body-worn cameras from the Ohio Department of Public Safety in December 2022.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","https://www.srtbwc.com/micro-grantees-data-download/","","Small, Rural, and Tribal Body-Worn Camera microgrant grantee list","","12/29/2021",""
"AOS001839","OH0520000BWC","Medina","Medina County County","OH","Medina County Sheriff's Office","Sheriff","The Medina County Sheriff’s Office received more than $30,000 in grant funds for the Ohio's Governor's Office for body-worn cameras in 2023. In January 2022, Ohio Governor Mike DeWine awarded $18,000.00 to the Medina County Sheriff's Office for expenses associated with launching or maintaining body-worn camera programs. The agency received an additional $16,490 grant for body-worn cameras from the Ohio Department of Public Safety in December 2022.","County","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","https://content.govdelivery.com/attachments/OHIOGOVERNOR/2022/12/14/file_attachments/2354974/ocjs-bwc-grant-awards_round%202.pdf","","Ohio Department of Public Safety","","12/16/2022",""
"AOS001840","OH0521400BWC","Medina Township","Medina County","OH","Medina Township Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $33,896.00 to the Medina Township Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001841","OH0530000BWC","Pomeroy","Meigs County County","OH","Meigs County Sheriff's Office","Sheriff","In January 2022, Ohio Governor Mike DeWine awarded $68,017.00 to the Meigs County Sheriff's Office for expenses associated with launching or maintaining body-worn camera programs.","County","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001842","OH0540000BWC","Celina","Mercer County County","OH","Mercer County Sheriff's Office","Sheriff","The Mercer County Sheriff’s Office received more than $50,000 in grant funds for the Ohio's Governor's Office for body-worn cameras in 2023. In January 2022, Ohio Governor Mike DeWine awarded $43,832.46 to the agency for expenses associated with launching or maintaining body-worn camera programs.","County","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","https://content.govdelivery.com/attachments/OHIOGOVERNOR/2024/01/11/file_attachments/2744369/ocjs-bwc-grant-funding-awards-2024.pdf","","Ohio Governor's Office","","01/12/2024",""
"AOS001843","CA0302000BWC","Seal Beach","Orange County","CA","Seal Beach Police Department","Police","The Seal Beach Police Department purchased 50 body worn cameras from Axon in 2020.","Municipal","Body-worn Cameras","","Axon","https://www.sunnews.org/council-oks-cameras-new-tasers-for-seal-beach-police/","","Sun Newspapers","","07/31/2020","","","","","","","","","","",""
"AOS001844","OH0570800BWC","Miamisburg","Montgomery County","OH","Miamisburg Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $52,154.00 to the Miamisburg Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001845","OH0130300BWC","Milford","Clermont County","OH","Milford Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $12,940.00 to the Milford Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","https://www.wlwt.com/article/wlwt-survey-shows-big-increase-in-local-departments-with-body-cameras/41849461#","","WLCT","","11/2/2022",""
"AOS001847","OH0570000BWC","Dayton","Montgomery County County","OH","Montgomery County Sheriff's Office","Sheriff","In January 2022, Ohio Governor Mike DeWine awarded $76,240.00 to the Montgomery County Sheriff's Office for expenses associated with launching or maintaining body-worn camera programs.","County","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001849","OH0580000BWC","McConnelsville","Morgan County County","OH","Morgan County Sheriff' Office","Sheriff","In January 2022, Ohio Governor Mike DeWine awarded $12,400.00 to the Morgan County Sheriff' Office for expenses associated with launching or maintaining body-worn camera programs.","County","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001850","OH0761000BWC","Navarre","Stark County","OH","Navarre Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $24,324.00 to the Navarre Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001851","OH0572000BWC","New Lebanon","Montgomery County","OH","New Lebanon Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $10,982.63 to the New Lebanon Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001852","OH0501200BWC","New Middletown","Mahoning County","OH","New Middletown Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $2,928.00 to the New Middletown Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001854","CA0210900BWC","San Rafael","Marin County","CA","San Rafael Police Department","Police","The San Rafael Police Department has used body-worn cameras since 2014.","Municipal","Body-worn Cameras","","Axon","https://www.facebook.com/sanrafaelpolice/photos/a.1828339310813104/2551541941826167/?type=3","","San Rafael Police Facebook page","","6/19/2020","https://abc7news.com/san-rafael-police-use-of-force-bodycam-video-officers-on-leave-protest/12191615/","","ABC 7","","9/2/2022","","","","","",""
"AOS001855","OH0312500BWC","Newtown","Hamilton County","OH","Newtown Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $30,151.10 to the Newtown Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","https://www.wlwt.com/article/wlwt-survey-shows-big-increase-in-local-departments-with-body-cameras/41849461#","","WLCT","","11/2/2022",""
"AOS001857","OH0390200BWC","Norwalk","Huron County","OH","Norwalk Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $23,201.70 to the Norwalk Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001858","OH0620100BWC","Oak Harbor","Ottawa County","OH","Oak Harbor Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $22,935.50 to the Oak Harbor Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001859","OH0091300BWC","Oxford Township","Butler County","OH","Oxford Township Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $10,546.60 to the Oxford Township Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001860","OH0550200BWC","Piqua","Miami County","OH","Piqua Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $24,750.00 to the Piqua Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001861","OH0530200BWC","Pomeroy","Meigs County","OH","Pomeroy Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $14,228.90 to the Pomeroy Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001862","OH0730200BWC","Portsmouth","Scioto County","OH","Portsmouth Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $14,385.00 to the Portsmouth Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001863","OH0312900BWC","Reading","Hamilton County","OH","Reading Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $24,712.63 to the Reading Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","https://www.wlwt.com/article/wlwt-survey-shows-big-increase-in-local-departments-with-body-cameras/41849461#","","WLCT","","11/2/2022",""
"AOS001864","OH0771900BWC","Reminderville","Summit County","OH","Reminderville Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $15,000.00 to the Reminderville Police Department for expenses associated with launching or maintaining body-worn camera programs. The Reminderville Police Department received an additional $13,519 grant for body-worn cameras from the Ohio Department of Public Safety in December 2022.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","https://content.govdelivery.com/attachments/OHIOGOVERNOR/2022/12/14/file_attachments/2354974/ocjs-bwc-grant-awards_round%202.pdf","","Ohio Department of Public Safety","","12/16/2022",""
"AOS001865","CA0411400BWC","San Bruno","San Mateo County","CA","San Bruno Police Department","Police","The San Bruno Police Department uses Axon body-worn cameras.","Municipal","Body-worn Cameras","","Axon","https://www.facebook.com/sanbrunopolice/photos/pb.100064919790927.-2207520000../4320346681358841/?type=3","","San Bruno Police Facebook page","","8/12/2021","https://www.sanbruno.ca.gov/DocumentCenter/View/3073/Community-Services-Officer-PDF?bidId=","","City of San Bruno","","12/08/2021","","","","","",""
"AOS001866","OH0572200BWC","Riverside","Montgomery County","OH","Riverside Police Department","Police","In January 2022, Ohio Governor Mike DeWine awarded $38,785.00 to the Riverside Police Department for expenses associated with launching or maintaining body-worn camera programs.","Municipal","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","","","","","",""
"AOS001867","OH0730000BWC","Portsmouth","Scioto County County","OH","Scioto County Sheriff's Office","Sheriff","The Scioto County Sheriff’s Office received more than $10,000 in grant funds for the Ohio's Governor's Office for body-worn cameras in 2023. In January 2022, Ohio Governor Mike DeWine awarded $24,950.00 to the agency for expenses associated with launching or maintaining body-worn camera programs. The Scioto County Sheriff's Office received an additional $9,344 grant for body-worn cameras from the Ohio Department of Public Safety in December 2022.","County","Body-worn Cameras","","","https://governor.ohio.gov/wps/wcm/connect/gov/361b7734-7bca-4d6b-98e4-3cacb55fc5a3/ocjs-bwc-grant-awards-2022.pdf?MOD=AJPERES&CONVERT_TO=url&CACHEID=ROOTWORKSPACE.Z18_K9I401S01H7F40QBNJU3SO1F56-361b7734-7bca-4d6b-98e4-3cacb55fc5a3-nWe5Zi1","","Office of the Governor","","01/24/2022","https://governor.ohio.gov/media/news-and-media/governor-dewine-awards-body-worn-camera-grants-to-100-law-enforcement-agencies-01242022","","Office of the Governor","","01/24/2022","https://content.govdelivery.com/attachments/OHIOGOVERNOR/2022/12/14/file_attachments/2354974/ocjs-bwc-grant-awards_round%202.pdf","","Ohio Department of Public Safety","","12/16/2022",""
